node_id,node_label,node_type,module_id,module_size,x,y
GO:0160108,animal gross anatomical part developmental process,Reference module anchor,GO:0160108,16,0,0
GO:0001819,positive regulation of cytokine production,Reference module anchor,GO:0001819,12,5.2,0
GO:0006810,transport,Reference module anchor,GO:0006810,8,10.4,0
GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,Reference module anchor,GO:0007169,8,15.600000000000001,0
GO:0030154,cell differentiation,Reference module anchor,GO:0030154,8,20.8,0
GO:0098609,cell-cell adhesion,Reference module anchor,GO:0098609,8,26,0
GO:1902532,negative regulation of intracellular signal transduction,Reference module anchor,GO:1902532,8,31.200000000000003,0
GO:0001818,negative regulation of cytokine production,Reference module anchor,GO:0001818,7,36.4,0
GO:0007166,cell surface receptor signaling pathway,Reference module anchor,GO:0007166,7,0,-4.6
GO:0007186,G protein-coupled receptor signaling pathway,Reference module anchor,GO:0007186,7,5.2,-4.6
GO:0009966,regulation of signal transduction,Reference module anchor,GO:0009966,7,10.4,-4.6
GO:0009967,positive regulation of signal transduction,Reference module anchor,GO:0009967,7,15.600000000000001,-4.6
GO:0032501,multicellular organismal process,Reference module anchor,GO:0032501,7,20.8,-4.6
GO:0051240,positive regulation of multicellular organismal process,Reference module anchor,GO:0051240,7,26,-4.6
GO:0051241,negative regulation of multicellular organismal process,Reference module anchor,GO:0051241,7,31.200000000000003,-4.6
GO:0045087,innate immune response,Reference module anchor,GO:0045087,6,36.4,-4.6
GO:1902533,positive regulation of intracellular signal transduction,Reference module anchor,GO:1902533,6,0,-9.2
GO:0008152,metabolic process,Reference module anchor,GO:0008152,5,5.2,-9.2
GO:0009056,catabolic process,Reference module anchor,GO:0009056,5,10.4,-9.2
GO:0009150,purine ribonucleotide metabolic process,Reference module anchor,GO:0009150,5,15.600000000000001,-9.2
GO:0009968,negative regulation of signal transduction,Reference module anchor,GO:0009968,5,20.8,-9.2
GO:0010496,intercellular transport,Reference module anchor,GO:0010496,5,26,-9.2
GO:0016236,macroautophagy,Reference module anchor,GO:0016236,5,31.200000000000003,-9.2
GO:0035556,intracellular signal transduction,Reference module anchor,GO:0035556,5,36.4,-9.2
GO:0042221,response to chemical,Reference module anchor,GO:0042221,5,0,-13.799999999999999
GO:0045595,regulation of cell differentiation,Reference module anchor,GO:0045595,5,5.2,-13.799999999999999
GO:0045596,negative regulation of cell differentiation,Reference module anchor,GO:0045596,5,10.4,-13.799999999999999
GO:0045597,positive regulation of cell differentiation,Reference module anchor,GO:0045597,5,15.600000000000001,-13.799999999999999
GO:0050804,modulation of chemical synaptic transmission,Reference module anchor,GO:0050804,5,20.8,-13.799999999999999
GO:0061024,membrane organization,Reference module anchor,GO:0061024,5,26,-13.799999999999999
GO:0065003,protein-containing complex assembly,Reference module anchor,GO:0065003,5,31.200000000000003,-13.799999999999999
GO:0065008,regulation of biological quality,Reference module anchor,GO:0065008,5,36.4,-13.799999999999999
GO:0071345,cellular response to cytokine stimulus,Reference module anchor,GO:0071345,5,0,-18.4
GO:1901700,response to oxygen-containing compound,Reference module anchor,GO:1901700,5,5.2,-18.4
GO:0003006,developmental process involved in reproduction,Reference module anchor,GO:0003006,4,10.4,-18.4
GO:0006259,DNA metabolic process,Reference module anchor,GO:0006259,4,15.600000000000001,-18.4
GO:0006281,DNA repair,Reference module anchor,GO:0006281,4,20.8,-18.4
GO:0006950,response to stress,Reference module anchor,GO:0006950,4,26,-18.4
GO:0006996,organelle organization,Reference module anchor,GO:0006996,4,31.200000000000003,-18.4
GO:0007268,chemical synaptic transmission,Reference module anchor,GO:0007268,4,36.4,-18.4
GO:0009725,response to hormone,Reference module anchor,GO:0009725,4,0,-23
GO:0022618,protein-RNA complex assembly,Reference module anchor,GO:0022618,4,5.2,-23
GO:0030003,intracellular monoatomic cation homeostasis,Reference module anchor,GO:0030003,4,10.4,-23
GO:0033554,cellular response to stress,Reference module anchor,GO:0033554,4,15.600000000000001,-23
GO:0043065,positive regulation of apoptotic process,Reference module anchor,GO:0043065,4,20.8,-23
GO:0043410,positive regulation of MAPK cascade,Reference module anchor,GO:0043410,4,26,-23
GO:0045165,cell fate commitment,Reference module anchor,GO:0045165,4,31.200000000000003,-23
GO:0046395,carboxylic acid catabolic process,Reference module anchor,GO:0046395,4,36.4,-23
GO:0046474,glycerophospholipid biosynthetic process,Reference module anchor,GO:0046474,4,0,-27.599999999999998
GO:0048513,animal organ development,Reference module anchor,GO:0048513,4,5.2,-27.599999999999998
GO:0048666,neuron development,Reference module anchor,GO:0048666,4,10.4,-27.599999999999998
GO:0051050,positive regulation of transport,Reference module anchor,GO:0051050,4,15.600000000000001,-27.599999999999998
GO:0051239,regulation of multicellular organismal process,Reference module anchor,GO:0051239,4,20.8,-27.599999999999998
GO:0051963,regulation of synapse assembly,Reference module anchor,GO:0051963,4,26,-27.599999999999998
GO:0071248,cellular response to metal ion,Reference module anchor,GO:0071248,4,31.200000000000003,-27.599999999999998
GO:0090068,positive regulation of cell cycle process,Reference module anchor,GO:0090068,4,36.4,-27.599999999999998
GO:0141124,intracellular signaling cassette,Reference module anchor,GO:0141124,4,0,-32.199999999999996
GO:0002719,negative regulation of cytokine production involved in immune response,Informative GO term,GO:0001818,7,36.4,0.946
GO:0032480,negative regulation of type I interferon production,Informative GO term,GO:0001818,7,35.66038741758524,0.589821352558362
GO:0032682,negative regulation of chemokine production,Informative GO term,GO:0001818,7,35.477718195075994,-0.2105048035226733
GO:0032689,negative regulation of type II interferon production,Informative GO term,GO:0001818,7,35.98954598279479,-0.8523165490356883
GO:0032703,negative regulation of interleukin-2 production,Informative GO term,GO:0001818,7,36.81045401720521,-0.8523165490356885
GO:0032715,negative regulation of interleukin-6 production,Informative GO term,GO:0001818,7,37.322281804924,-0.21050480352267364
GO:1900016,negative regulation of cytokine production involved in inflammatory response,Informative GO term,GO:0001818,7,37.139612582414756,0.5898213525583617
GO:0010575,positive regulation of vascular endothelial growth factor production,Informative GO term,GO:0001819,12,5.2,1.036
GO:0032722,positive regulation of chemokine production,Informative GO term,GO:0001819,12,4.682,0.8972023183206785
GO:0032729,positive regulation of type II interferon production,Informative GO term,GO:0001819,12,4.302797681679322,0.5180000000000003
GO:0032733,positive regulation of interleukin-10 production,Informative GO term,GO:0001819,12,4.164,1.268734083916658e-16
GO:0032735,positive regulation of interleukin-12 production,Informative GO term,GO:0001819,12,4.302797681679322,-0.5179999999999998
GO:0032736,positive regulation of interleukin-13 production,Informative GO term,GO:0001819,12,4.682,-0.8972023183206786
GO:0032740,positive regulation of interleukin-17 production,Informative GO term,GO:0001819,12,5.2,-1.036
GO:0032743,positive regulation of interleukin-2 production,Informative GO term,GO:0001819,12,5.718,-0.8972023183206789
GO:0032753,positive regulation of interleukin-4 production,Informative GO term,GO:0001819,12,6.0972023183206785,-0.5180000000000005
GO:0032755,positive regulation of interleukin-6 production,Informative GO term,GO:0001819,12,6.236000000000001,-2.537468167833316e-16
GO:0032757,positive regulation of interleukin-8 production,Informative GO term,GO:0001819,12,6.0972023183206785,0.518
GO:1900017,positive regulation of cytokine production involved in inflammatory response,Informative GO term,GO:0001819,12,5.718000000000001,0.8972023183206782
GO:0001556,oocyte maturation,Informative GO term,GO:0003006,4,10.4,-17.508
GO:0001675,acrosome assembly,Informative GO term,GO:0003006,4,9.508000000000001,-18.4
GO:0007288,sperm axoneme assembly,Informative GO term,GO:0003006,4,10.4,-19.291999999999998
GO:0048240,sperm capacitation,Informative GO term,GO:0003006,4,11.292,-18.4
GO:0006270,DNA replication initiation,Informative GO term,GO:0006259,4,15.600000000000001,-17.508
GO:0006304,DNA modification,Informative GO term,GO:0006259,4,14.708000000000002,-18.4
GO:0006308,DNA catabolic process,Informative GO term,GO:0006259,4,15.600000000000001,-19.291999999999998
GO:0022616,DNA strand elongation,Informative GO term,GO:0006259,4,16.492,-18.4
GO:0006284,base-excision repair,Informative GO term,GO:0006281,4,20.8,-17.508
GO:0006289,nucleotide-excision repair,Informative GO term,GO:0006281,4,19.908,-18.4
GO:0006298,mismatch repair,Informative GO term,GO:0006281,4,20.8,-19.291999999999998
GO:0036297,interstrand cross-link repair,Informative GO term,GO:0006281,4,21.692,-18.4
GO:0015701,bicarbonate transport,Informative GO term,GO:0006810,8,10.4,0.964
GO:0019755,one-carbon compound transport,Informative GO term,GO:0006810,8,9.718349062936168,0.6816509370638318
GO:0035459,vesicle cargo loading,Informative GO term,GO:0006810,8,9.436,1.1805595143780483e-16
