"cluster","expert_id_1","expert_id_2","label_1","label_2","cosine_similarity","involves_not_available","reporting_status"
4,"Expert #1","Expert #2","Glutamatergic synapse","Excitatory neurotransmission via glutamate",0.807168659899749,FALSE,"Included in pooled summary"
4,"Expert #1","Expert #3","Glutamatergic synapse","Glutamatergic Excitatory Synapse Module",0.859277540416561,FALSE,"Included in pooled summary"
4,"Expert #1","Expert #4","Glutamatergic synapse","Glutamatergic synapse pathway",0.790480526268209,FALSE,"Included in pooled summary"
4,"Expert #1","Expert #5","Glutamatergic synapse","Glutamatergic Synaptic Module",0.793936825477348,FALSE,"Included in pooled summary"
4,"Expert #2","Expert #3","Excitatory neurotransmission via glutamate","Glutamatergic Excitatory Synapse Module",0.843803627248284,FALSE,"Included in pooled summary"
4,"Expert #2","Expert #4","Excitatory neurotransmission via glutamate","Glutamatergic synapse pathway",0.811297770855176,FALSE,"Included in pooled summary"
4,"Expert #2","Expert #5","Excitatory neurotransmission via glutamate","Glutamatergic Synaptic Module",0.801081095995305,FALSE,"Included in pooled summary"
4,"Expert #3","Expert #4","Glutamatergic Excitatory Synapse Module","Glutamatergic synapse pathway",0.808019622661033,FALSE,"Included in pooled summary"
4,"Expert #3","Expert #5","Glutamatergic Excitatory Synapse Module","Glutamatergic Synaptic Module",0.824190025769695,FALSE,"Included in pooled summary"
4,"Expert #4","Expert #5","Glutamatergic synapse pathway","Glutamatergic Synaptic Module",0.860244096183933,FALSE,"Included in pooled summary"
5,"Expert #1","Expert #2","Not Available ","DNA replication initiation",0.246920836978468,TRUE,"Involves 'Not Available' (excluded from pooled summary)"
5,"Expert #1","Expert #3","Not Available ","DNA Replication Module",0.377554449480895,TRUE,"Involves 'Not Available' (excluded from pooled summary)"
5,"Expert #1","Expert #4","Not Available ","DNA Replication",0.281922706320246,TRUE,"Involves 'Not Available' (excluded from pooled summary)"
5,"Expert #1","Expert #5","Not Available ","DNA Replication Module",0.308569942893823,TRUE,"Involves 'Not Available' (excluded from pooled summary)"
5,"Expert #2","Expert #3","DNA replication initiation","DNA Replication Module",0.734761552126476,FALSE,"Included in pooled summary"
5,"Expert #2","Expert #4","DNA replication initiation","DNA Replication",0.8364135320836,FALSE,"Included in pooled summary"
5,"Expert #2","Expert #5","DNA replication initiation","DNA Replication Module",0.861349626747708,FALSE,"Included in pooled summary"
5,"Expert #3","Expert #4","DNA Replication Module","DNA Replication",0.804202311351629,FALSE,"Included in pooled summary"
5,"Expert #3","Expert #5","DNA Replication Module","DNA Replication Module",0.83965979434844,FALSE,"Included in pooled summary"
5,"Expert #4","Expert #5","DNA Replication","DNA Replication Module",0.90971074542859,FALSE,"Included in pooled summary"
7,"Expert #1","Expert #2","Electron transfer flavoprotein complex through oxidative phosphorylation","Electron transport chain in oxidative phosphorylation",0.818079444009193,FALSE,"Included in pooled summary"
7,"Expert #1","Expert #3","Electron transfer flavoprotein complex through oxidative phosphorylation","Electron Transport Module",0.832003119223521,FALSE,"Included in pooled summary"
7,"Expert #1","Expert #4","Electron transfer flavoprotein complex through oxidative phosphorylation","Adenosine triphosphate (ATP) synthesis",0.636858451411656,FALSE,"Included in pooled summary"
