ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
BP,GO:0043085,positive regulation of catalytic activity,75/2213,247/15876,0.30364372469635625,2.178331574007841,7.51146997829162,1.611233579869998e-11,3.6575002263048956e-8,3.2496037252957017e-8,EGFR/TRAF2/APOA5/RAPGEF1/AGAP1/ERBB3/ERBB2/RAP1GAP2/AGAP3/ARHGEF26/ASAP1/CAMKK2/SEMA4D/FGFR1/PREX2/DOCK8/MERTK/CTSL/TBC1D22A/INSR/SIPA1L1/RALGAPA2/CHN2/ERBB4/RPTOR/ABR/BCR/TSC2/RAPGEF5/TEK/TBC1D15/XRCC4/RALGAPA1/ASAP2/RASGRP2/RASSF2/RALGAPB/ARAP2/DDR2/GNA13/RASGEF1B/DCP1B/AXIN1/MYO9A/RAP1GDS1/FGFR4/TBC1D5/FGFR3/RASGRP3/TBC1D16/PDGFRA/RAP1GAP/DOCK9/SIPA1L3/FLT1/RANGAP1/RYK/ADAP1/FGFR2/PDGFC/ARHGAP24/SASH1/RGS9/RALGPS2/SIPA1L2/ARHGAP29/NRG1/IGF1R/RALGDS/FLT4/GARNL3/MNAT1/DCP1A/RGS7/RAPGEF4,75
BP,GO:0044093,positive regulation of molecular function,87/2213,314/15876,0.2770700636942675,1.9876928744736515,7.114241095555565,8.803710575745633e-11,9.992211503471294e-8,8.877847085857176e-8,EGFR/TRAF2/APOA5/RAPGEF1/AGAP1/ERBB3/ERBB2/RAP1GAP2/AGAP3/ARHGEF26/PPARGC1A/ASAP1/CAMKK2/SEMA4D/FGFR1/PREX2/DOCK8/MERTK/CTSL/TBC1D22A/PPARGC1B/INSR/SIPA1L1/RALGAPA2/CHN2/ERBB4/RPTOR/ABR/BCR/IL1RAP/TSC2/RAPGEF5/LRP6/TEK/TBC1D15/XRCC4/RALGAPA1/ASAP2/RASGRP2/RASSF2/RALGAPB/ARAP2/DDR2/GNA13/RASGEF1B/DCP1B/AXIN1/MYO9A/RAP1GDS1/FGFR4/TBC1D5/FGFR3/RASGRP3/TBC1D16/STIM2/MALT1/PDGFRA/RAP1GAP/DOCK9/SIPA1L3/STIM1/FLT1/RANGAP1/RYK/ADAP1/FGFR2/PDGFC/ARHGAP24/IRAK2/SASH1/TESC/RGS9/RALGPS2/SIPA1L2/ARHGAP29/TRIM37/NRG1/IRAK3/IGF1R/RALGDS/FLT4/GARNL3/MNAT1/DCP1A/RGS7/CRTC3/RAPGEF4,87
BP,GO:0043087,regulation of GTPase activity,52/2213,154/15876,0.33766233766233766,2.4223801503512306,7.13833108481355,3.1960369532860074e-10,2.418334627986412e-7,2.148633965788067e-7,RAPGEF1/AGAP1/RAP1GAP2/AGAP3/ARHGEF26/ASAP1/SEMA4D/PREX2/DOCK8/TBC1D22A/SIPA1L1/RALGAPA2/CHN2/RASAL2/ABR/BCR/TSC2/RAPGEF5/TBC1D15/RALGAPA1/ASAP2/RASGRP2/RALGAPB/ARAP2/RASA1/RASGEF1B/IQGAP2/MYO9A/RAP1GDS1/TBC1D5/RASGRP3/TBC1D16/RASA3/RAP1GAP/DOCK9/SIPA1L3/NF1/ALS2/RANGAP1/ADAP1/ARHGAP24/FGD6/RGS9/RALGPS2/SIPA1L2/ARHGAP29/RALGDS/RASA2/GARNL3/VAV2/RGS7/RAPGEF4,52
BP,GO:0051345,positive regulation of hydrolase activity,46/2213,129/15876,0.35658914728682173,2.5581605523387174,7.151261948158209,4.3564057373281496e-10,2.4467043723793894e-7,2.1738398226194806e-7,APOA5/RAPGEF1/AGAP1/RAP1GAP2/AGAP3/ARHGEF26/ASAP1/SEMA4D/PREX2/DOCK8/CTSL/TBC1D22A/SIPA1L1/RALGAPA2/CHN2/ABR/BCR/TSC2/RAPGEF5/TBC1D15/RALGAPA1/ASAP2/RASGRP2/RALGAPB/ARAP2/GNA13/RASGEF1B/MYO9A/RAP1GDS1/TBC1D5/RASGRP3/TBC1D16/RAP1GAP/DOCK9/SIPA1L3/RANGAP1/ADAP1/ARHGAP24/RGS9/RALGPS2/SIPA1L2/ARHGAP29/RALGDS/GARNL3/RGS7/RAPGEF4,46
BP,GO:0043547,positive regulation of GTPase activity,43/2213,117/15876,0.36752136752136755,2.6365879940213426,7.1506003161452485,5.389216679249756e-10,2.4467043723793894e-7,2.1738398226194806e-7,RAPGEF1/AGAP1/RAP1GAP2/AGAP3/ARHGEF26/ASAP1/SEMA4D/PREX2/DOCK8/TBC1D22A/SIPA1L1/RALGAPA2/CHN2/ABR/BCR/TSC2/RAPGEF5/TBC1D15/RALGAPA1/ASAP2/RASGRP2/RALGAPB/ARAP2/RASGEF1B/MYO9A/RAP1GDS1/TBC1D5/RASGRP3/TBC1D16/RAP1GAP/DOCK9/SIPA1L3/RANGAP1/ADAP1/ARHGAP24/RGS9/RALGPS2/SIPA1L2/ARHGAP29/RALGDS/GARNL3/RGS7/RAPGEF4,43
BP,GO:0050790,regulation of catalytic activity,110/2213,456/15876,0.2412280701754386,1.7305634171284516,6.370487904050376,2.5611541553271115e-9,9.396743902669449e-7,8.348787997920086e-7,PRKAG2/EGFR/CTSB/TRAF2/APOA5/RAPGEF1/AGAP1/PTPRD/ERBB3/APOC3/TIMP3/ERBB2/RAP1GAP2/AGAP3/ARHGEF26/AGT/ASAP1/CAMKK2/PTPRF/SEMA4D/FGFR1/PREX2/DOCK8/MERTK/CTSL/TBC1D22A/CBLB/INSR/SIPA1L1/RALGAPA2/CHN2/RASAL2/ERBB4/RPTOR/ABR/BCR/TSC2/RAPGEF5/TEK/TBC1D15/PTPRB/DEPTOR/XRCC4/RALGAPA1/ASAP2/PRKAR2A/RASGRP2/RASSF2/RALGAPB/ARAP2/RASA1/CCNY/DDR2/GNA13/RASGEF1B/DCP1B/PRKAR2B/AXIN1/IQGAP2/UBASH3B/MYO9A/RAP1GDS1/FGFR4/TBC1D5/PALM/FGFR3/RASGRP3/TBC1D16/PDGFRA/RASA3/RAP1GAP/DOCK9/SIPA1L3/NF1/ALS2/FLT1/RANGAP1/RYK/ADAP1/FGFR2/PDGFC/GZMK/ARHGAP24/PRKAG1/FGD6/TRIB2/SASH1/PRKRIP1/RGS9/RALGPS2/SIPA1L2/ARHGAP29/NRG1/IRAK3/IGF1R/RALGDS/RASA2/SERPINF2/DTNBP1/FLT4/CAV1/GARNL3/CCNG2/MNAT1/DCP1A/VAV2/RGS7/URI1/RAPGEF4/CCNH,110
BP,GO:0007167,enzyme-linked receptor protein signaling pathway,88/2213,340/15876,0.25882352941176473,1.8567927487307625,6.427175728172332,2.897674331219654e-9,9.396743902669449e-7,8.348787997920086e-7,LDLRAD4/SKI/EGFR/COL4A4/NRP1/ERBB3/ERBB2/IGFBP2/TGFBR3/ERRFI1/FOXO1/ANKS1A/MVB12B/IGFBP1/ZYX/MAPKAPK2/SMAD7/BMP6/ENG/FGFR1/MERTK/PXN/CBLB/INSR/GRB14/PIK3R1/TYK2/IRS2/ERBB4/BLNK/GAREM1/TSC2/VEGFC/SMAD6/TEK/DOK6/NEDD9/ANKS1B/IGFBP5/GSK3B/LYN/DDR2/TGFBR2/NRP2/BMP2/SMURF1/UBASH3B/BCAR1/EPHB4/FGFR4/GRB10/FGR/FYN/COL4A2/FGFR3/EPHA2/PDGFRA/INPP5K/STXBP4/ECSIT/PTPN12/FLT1/TMEM204/RYK/FGFR2/PDGFC/PMEPA1/TGFBR1/DOK3/NREP/NRG1/IGF1R/NPR1/SMAD3/EFNA1/TNK2/FLT4/BMPR2/TGFB1/JAK1/SPART/ACVR1B/IGFBP6/DOK2/ANGPTL1/VEGFA/SKIL/FSTL1,88
BP,GO:0044248,cellular catabolic process,47/2213,149/15876,0.31543624161073824,2.2629307599693087,6.233389594159213,2.6071804502758372e-8,7.285972389302442e-6,6.473416692744485e-6,SDS/AFMID/IDO2/EHHADH/HACL1/HPD/LPIN2/ACOX1/ABCD3/KMO/SHMT1/SARDH/GLS2/ALDH1L1/ARG1/PCK1/GOT2/GCDH/HAO2/PAH/MLYCD/ACAA1/HAL/ACAT1/TAT/SLC27A2/BCKDHA/GSTZ1/ABHD2/PRODH2/GGT7/ABCD4/BLMH/ABHD3/ECHDC1/AUH/ACOX3/PHYH/IDE/ANPEP/TDO2/ETFB/CPQ/NEDD4/ALDH4A1/ACAD11/GLUD1,47
BP,GO:0043436,oxoacid metabolic process,113/2213,492/15876,0.22967479674796748,1.6476805572393727,5.873315296984611,2.8887115199877524e-8,7.285972389302442e-6,6.473416692744485e-6,SDS/CYP2A24/AFMID/CPT1A/IDO2/EHHADH/GOT1/ACACB/HACL1/ACSL1/CYP2A26/HPD/LPIN2/ACOX1/APOA5/ABCD3/ADH6/KMO/EPHX1/SHMT1/SARDH/PAPSS2/ACSL3/ACSM3/AGXT/CYP2B6/GLS2/ALDOB/GLUL/AASS/ALDH1L1/ARG1/MTHFR/PCK1/ASS1/ASL/ACSM1/GOT2/GNMT/GCDH/P4HA1/ACSF2/HAO2/CRYL1/ODC1/GATM/ME1/AGMAT/PAH/CSAD/MLYCD/ACAA1/HAL/LPL/ACAT1/TAT/CPS1/CYP39A1/SLC27A2/MECR/BCKDHA/ACSF3/GSTZ1/SLC23A2/ACO1/HAGH/CAD/ABHD2/PRODH2/SEPHS1/IDH1/ABCD4/BLMH/ABHD3/ELOVL5/CBS/AS3MT/ECHDC1/PDXDC1/HPGD/AUH/EGLN1/DGLUCY/ACOX3/PHYH/CYP4F12/FGFR4/NIT2/PPARG/HSD17B5/TDO2/UEVLD/ACSL4/DSE/ETFB/PKM/GPAM/CYP7B1/BHMT2/ME2/ALDH4A1/ALDH8A1/HK1/HACD1/DBI/PFKP/NAAA/ACSM5/TNFRSF1A/GPI/ACAD11/CYP2A23/GLUD1,113
BP,GO:0019752,carboxylic acid metabolic process,112/2213,488/15876,0.22950819672131148,1.6464853733156535,5.837838353003877,3.468322368556527e-8,7.873091776623316e-6,6.995058587530849e-6,SDS/CYP2A24/AFMID/CPT1A/IDO2/EHHADH/GOT1/ACACB/HACL1/ACSL1/CYP2A26/HPD/LPIN2/ACOX1/APOA5/ABCD3/ADH6/KMO/EPHX1/SHMT1/SARDH/ACSL3/ACSM3/AGXT/CYP2B6/GLS2/ALDOB/GLUL/AASS/ALDH1L1/ARG1/MTHFR/PCK1/ASS1/ASL/ACSM1/GOT2/GNMT/GCDH/P4HA1/ACSF2/HAO2/CRYL1/ODC1/GATM/ME1/AGMAT/PAH/CSAD/MLYCD/ACAA1/HAL/LPL/ACAT1/TAT/CPS1/CYP39A1/SLC27A2/MECR/BCKDHA/ACSF3/GSTZ1/SLC23A2/ACO1/HAGH/CAD/ABHD2/PRODH2/SEPHS1/IDH1/ABCD4/BLMH/ABHD3/ELOVL5/CBS/AS3MT/ECHDC1/PDXDC1/HPGD/AUH/EGLN1/DGLUCY/ACOX3/PHYH/CYP4F12/FGFR4/NIT2/PPARG/HSD17B5/TDO2/UEVLD/ACSL4/DSE/ETFB/PKM/GPAM/CYP7B1/BHMT2/ME2/ALDH4A1/ALDH8A1/HK1/HACD1/DBI/PFKP/NAAA/ACSM5/TNFRSF1A/GPI/ACAD11/CYP2A23/GLUD1,112
